category_id,category_level_1,category_level_2,category_level_3,category_type,blacklist_reason,ss_category_id,andele_category_id
CM00135,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori telefoniem,normal,,SS00135,AM00033
CM00136,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori velosipēdiem,normal,,SS00136,AM00034
CM00137,Elektrotehnika,"Baterijas, Akumulatori",Akumulatori citi,normal,,SS00137,AM00035
CM00138,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji automobiļiem,normal,,SS00138,AM00036
CM00139,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji darbarikiem,normal,,SS00139,AM00033
CM00140,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji foto un video tehnikai,normal,,SS00140,AM00033
CM00141,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji piezīmjdatoriem un plaukstdatoriem,normal,,SS00141,AM00018
CM00142,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji telefoniem,normal,,SS00142,AM00033
CM00143,Elektrotehnika,"Baterijas, Akumulatori",Lādētāji citi,normal,,SS00143,AM00033
CM00144,Elektrotehnika,"Baterijas, Akumulatori","Sprieguma pārveidotāji, invertori",normal,,SS00144,AM00033
CM00145,Elektrotehnika,"Baterijas, Akumulatori",Cits,normal,,SS00145,AM00005
CM00146,Elektrotehnika,Virtuves tehnika,Cepešķrāsnis,normal,,SS00146,AM00073
CM00147,Elektrotehnika,Virtuves tehnika,Elektriskās plītis,normal,,SS00147,AM00073
CM00148,Elektrotehnika,Virtuves tehnika,Gāzes plītis,normal,,SS00148,AM00073
CM00149,Elektrotehnika,Virtuves tehnika,Ledusskapji,normal,,SS00149,AM00073
CM00150,Elektrotehnika,Virtuves tehnika,Plīts virsmas,normal,,SS00150,AM00073
CM00151,Elektrotehnika,Virtuves tehnika,Saldētavas,normal,,SS00151,AM00075
CM00152,Elektrotehnika,Virtuves tehnika,Trauku mazgājamās mašīnas,normal,,SS00152,AM00106
CM00153,Elektrotehnika,Virtuves tehnika,Tvaika nosūcēji,normal,,SS00153,AM00107
CM00154,Elektrotehnika,Virtuves tehnika,Vīna skapji,normal,,SS00154,AM00076
CM00155,Elektrotehnika,Virtuves tehnika,Blenderi,normal,,SS00155,AM00099
CM00156,Elektrotehnika,Virtuves tehnika,Daudzfunkcionālie katli,normal,,SS00156,AM00073
CM00157,Elektrotehnika,Virtuves tehnika,Frī vārāmie katli,normal,,SS00157,AM00006
CM00158,Elektrotehnika,Virtuves tehnika,Gaļas mašīnas,normal,,SS00158,AM00006
CM00159,Elektrotehnika,Virtuves tehnika,Grilli,normal,,SS00159,AM00006
CM00160,Elektrotehnika,Virtuves tehnika,Kafijas automāti,normal,,SS00160,AM00100
CM00161,Elektrotehnika,Virtuves tehnika,Kafijas mājiņas dzirnaviņas,normal,,SS00161,AM00006
CM00162,Elektrotehnika,Virtuves tehnika,Ledus ģeneratori,normal,,SS00162,AM00006
CM00163,Elektrotehnika,Virtuves tehnika,Maizes cepšanas iekārtas,normal,,SS00163,AM00090
CM00164,Elektrotehnika,Virtuves tehnika,Mikroviļņu krāsnis,normal,,SS00164,AM00098
CM00165,Elektrotehnika,Virtuves tehnika,Mikseri,normal,,SS00165,AM00099
CM00166,Elektrotehnika,Virtuves tehnika,Produktu griešanas iekārtas,normal,,SS00166,AM00097
CM00167,Elektrotehnika,Virtuves tehnika,Suļu spiedes,normal,,SS00167,AM00104
CM00168,Elektrotehnika,Virtuves tehnika,Tējkannas,normal,,SS00168,AM00105
CM00169,Elektrotehnika,Virtuves tehnika,Tosteri,normal,,SS00169,AM00097
CM00170,Elektrotehnika,Virtuves tehnika,Trauku un galda piederumi,normal,,SS00170,AM00097
CM00171,Elektrotehnika,Virtuves tehnika,Tvaika katli,normal,,SS00171,AM00097
CM00172,Elektrotehnika,Virtuves tehnika,Virtuves kombaini,normal,,SS00172,AM00108
CM00173,Elektrotehnika,Virtuves tehnika,Virtuves svari,normal,,SS00173,AM00087
CM00174,Elektrotehnika,Virtuves tehnika,Cits,normal,,SS00174,AM00005
CM00175,Elektrotehnika,Tīrība un šūšana,Elektriskās slotas,normal,,SS00175,AM00077
CM00176,Elektrotehnika,Tīrība un šūšana,Gludekļi,normal,,SS00176,AM00003
CM00177,Elektrotehnika,Tīrība un šūšana,Veļas mašīnas,normal,,SS00177,AM00080
CM00178,Elektrotehnika,Tīrība un šūšana,Veļas žāvētāji,normal,,SS00178,AM00081
CM00179,Elektrotehnika,Tīrība un šūšana,Putekļusūcēji,normal,,SS00179,AM00077
CM00180,Elektrotehnika,Tīrība un šūšana,Šujmašīnas,normal,,SS00180,AM00004
CM00181,Elektrotehnika,Tīrība un šūšana,Overloki,normal,,SS00181,AM00077
CM00182,Elektrotehnika,Tīrība un šūšana,"Fēni, matu ieveidotāji, matu taisnotāji",normal,,SS00182,AM00058
CM00183,Elektrotehnika,Tīrība un šūšana,Elektriskuvekļi,normal,,SS00183,AM00077
CM00184,Elektrotehnika,Tīrība un šūšana,Epilatori,normal,,SS00184,AM00052
CM00185,Elektrotehnika,Tīrība un šūšana,Cits,normal,,SS00185,AM00099
CM00186,Elektrotehnika,Skaistums un veselība,Pulksteņi,normal,,SS00186,AM00099
CM00187,Elektrotehnika,Skaistums un veselība,Cits,normal,,SS00187,AM00005
CM00188,Elektrotehnika,Gaisa un ūdens kopšana,Boileri,normal,,SS00188,AM00009
CM00189,Elektrotehnika,Gaisa un ūdens kopšana,Elektriskie radiatori,normal,,SS00189,AM00009
CM00190,Elektrotehnika,Gaisa un ūdens kopšana,Elektriskie sildītāji,normal,,SS00190,AM00045
CM00191,Elektrotehnika,Gaisa un ūdens kopšana,Eļļas radiatori,normal,,SS00191,AM00101
CM00192,Elektrotehnika,Gaisa un ūdens kopšana,Filtri un ūdens attīrītāji,normal,,SS00192,AM00101
CM00193,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa aromātiztāji,normal,,SS00193,AM00108
CM00194,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa filtri,normal,,SS00194,AM00101
CM00195,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa jonizētāji,normal,,SS00195,AM00101
CM00196,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa mitrinātāji,normal,,SS00196,AM00105
CM00197,Elektrotehnika,Gaisa un ūdens kopšana,Infrasarkanie silditāji,normal,,SS00197,AM00045
CM00198,Elektrotehnika,Gaisa un ūdens kopšana,Kondicionieri,normal,,SS00198,AM00043
CM00199,Elektrotehnika,Gaisa un ūdens kopšana,Mitruma nosūcēji,normal,,SS00199,AM00102
CM00200,Elektrotehnika,Gaisa un ūdens kopšana,Ūdens miksētāji,normal,,SS00200,AM00102
CM00201,Elektrotehnika,Gaisa un ūdens kopšana,Ventilatori,normal,,SS00201,AM00102
CM00202,Elektrotehnika,Gaisa un ūdens kopšana,Cits,normal,,SS00202,AM00005
CM00203,Elektrotehnika,Sadzīves tehnika,GPS navigācija,normal,,SS00203,AM00103
CM00204,Elektrotehnika,Dažādi un remonts,Spuldzes,normal,,SS00204,AM00100
CM00205,Elektrotehnika,Dažādi un remonts,"Barošanas bloki, draiveri, kontrolieri",normal,,SS00205,AM00100
CM00206,Elektrotehnika,Dažādi un remonts,LED profili un lentas,normal,,SS00206,AM00100
CM00207,Elektrotehnika,Dažādi un remonts,"Vieda māja, Arduino, Raspberry PI",normal,,SS00207,AM00108
CM00208,Elektrotehnika,Dažādi un remonts,Kabeļi un aksesuāri,normal,,SS00208,AM00104
CM00209,Elektrotehnika,Dažādi un remonts,Tālvadības pultis,normal,,SS00209,AM00103
CM00210,Elektrotehnika,Dažādi un remonts,"Radiācijas mērītāji, dozimetri",normal,,SS00210,AM00104
CM00211,Elektrotehnika,Dažādi un remonts,"Radio detaļas, mikroshēmas",normal,,SS00211,AM00106
CM00212,Elektrotehnika,Dažādi un remonts,Datoru remonts,blacklisted,repairs,SS00212,AM00107
CM00213,Elektrotehnika,Dažādi un remonts,Elektronīkas remonts,blacklisted,repairs,SS00213,AM00108
CM00214,Elektrotehnika,Dažādi un remonts,Hidroelektrostacijas,normal,,SS00214,AM00080
CM00215,Elektrotehnika,Dažādi un remonts,Saules elektrostacijas,normal,,SS00215,AM00079
CM00216,Elektrotehnika,Dažādi un remonts,Vēja ģeneratori,normal,,SS00216,AM00081
CM00217,Elektrotehnika,Dažādi un remonts,Dažādi,normal,,SS00217,AM00082
